farmerId,farmerLocation,farmerAge,farmerMonthlyIncome,_crops
116,Rangpur,32,28400,1
117,Dhaka,33,28450,7
118,Jessore,34,28500,2
119,Chittagong,35,28550,1
120,Dhaka,36,28600,7
121,Dhaka,37,28650,2
122,Chittagong,38,28700,1
123,Dhaka,39,28750,7
124,Jessore,40,28800,2
125,Dhaka,41,28850,1
126,Chittagong,42,28900,7
127,Dhaka,43,28950,2
128,Jessore,44,29000,1
129,Jamalpur,45,29050,7
130,Khulna,46,29100,2
131,Kushtia,47,29150,1
132,Rangpur,48,29200,7
133,Jamalpur,49,29250,2
134,Khulna,50,29300,1
135,Kushtia,51,29350,7
136,Rangpur,52,29400,2
137,Dhaka,53,29450,1
138,Jessore,54,29500,7
139,Chittagong,55,29550,2
140,Dhaka,56,29600,1
141,Kushtia,57,29650,7
142,Rangpur,58,29700,2
143,Jamalpur,59,29750,1
144,Khulna,60,29800,7
145,Kushtia,61,29850,2
146,Rangpur,62,29900,1
147,Dhaka,63,29950,7
148,Jessore,70,30000,2
149,Chittagong,69,30050,1
150,Dhaka,68,30100,7
151,Dhaka,67,30150,2
152,Chittagong,66,30200,1
153,Dhaka,65,30250,7
154,Jessore,64,30300,2
155,Dhaka,63,30350,1
156,Chittagong,62,30400,7
157,Dhaka,61,30450,2
158,Jessore,60,30500,1
159,Jamalpur,59,30550,7
160,Khulna,58,30600,2
161,Kushtia,57,30650,1
162,Rangpur,56,30700,7
163,Jamalpur,55,30750,2
164,Khulna,54,30800,1
165,Kushtia,53,30850,7
166,Rangpur,52,30900,2
167,Dhaka,51,30950,8
168,Jessore,50,31000,8
169,Chittagong,49,31050,6
170,Dhaka,48,31100,4
171,Dhaka,47,31150,8
172,Chittagong,46,31200,6
173,Dhaka,45,31250,4
174,Jessore,44,31300,8
175,Dhaka,43,31350,6
176,Chittagong,42,31400,4
177,Dhaka,41,31450,8
178,Jessore,40,31500,6
179,Jamalpur,39,31550,4
180,Khulna,38,31600,1
181,Kushtia,37,31650,7
182,Rangpur,36,31700,2
183,Jamalpur,35,31750,1
184,Khulna,34,31800,7
185,Kushtia,33,31850,2
186,Rangpur,32,31900,1
187,Dhaka,31,31950,7
188,Jessore,30,32000,2
189,Chittagong,29,32050,1
190,Dhaka,28,32100,7
191,Kushtia,27,32150,2
192,Rangpur,26,32200,1
193,Jamalpur,25,32250,7
194,Khulna,24,32300,2
195,Kushtia,23,32350,1
196,Rangpur,22,32400,7
197,Dhaka,21,32450,2
198,Jessore,70,32500,1
199,Chittagong,69,32550,7
200,Dhaka,68,32600,2
201,Tangail,67,32650,1
202,Bogra,66,32700,7
203,Natore,65,32750,2
204,Pabna,64,32800,1
205,Tangail,63,32850,7
206,Bogra,62,32900,2
207,Natore,61,32950,1
208,Pabna,60,33000,7
209,Tangail,59,33050,2
210,Bogra,58,33100,1
211,Natore,57,33150,7
212,Pabna,56,33200,2
213,Tangail,55,33250,1
214,Bogra,54,33300,7
215,Natore,53,33350,2
216,Pabna,52,33400,1
217,Tangail,51,33450,7
218,Bogra,50,33500,2
219,Natore,49,33550,1
220,Pabna,48,33600,7
221,Tangail,47,33650,2
222,Bogra,46,33700,1
223,Natore,45,33750,7
224,Pabna,44,33800,2
225,Tangail,43,33850,4
226,Bogra,42,33900,6
227,Natore,41,33950,8
228,Pabna,40,34000,6
229,Tangail,39,34050,4
230,Bogra,38,34100,8
231,Natore,37,34150,6
232,Pabna,36,34200,4
233,Tangail,35,34250,8
234,Bogra,34,34300,6
235,Natore,33,34350,4
236,Pabna,32,34400,8
237,Tangail,31,34450,6
238,Bogra,30,34500,4
239,Natore,29,34550,8
240,Pabna,28,34600,6
241,Tangail,27,34650,4
242,Bogra,26,34700,1
243,Natore,25,34750,2
244,Pabna,24,34800,3
245,Tangail,23,34850,4
246,Bogra,22,34900,5
247,Natore,21,34950,1
248,Pabna,70,35000,2
249,Tangail,69,35050,3
250,Bogra,68,35100,4
251,Natore,67,35150,5
252,Pabna,66,35200,1
253,Tangail,65,35250,2
254,Bogra,64,35300,3
255,Natore,63,35350,4
256,Pabna,62,35400,5
257,Tangail,61,35450,1
258,Bogra,60,35500,2
259,Natore,59,35550,3
260,Pabna,58,35600,4
261,Tangail,57,35650,5
262,Bogra,56,35700,1
263,Natore,55,35750,2
264,Pabna,54,35800,3
265,Tangail,53,35850,4
266,Bogra,52,35900,5
267,Natore,51,35950,1
268,Pabna,50,36000,2
269,Tangail,49,36050,3
270,Bogra,48,36100,4
271,Natore,47,36150,5
272,Pabna,46,36200,1
273,Tangail,45,36250,2
274,Bogra,44,36300,3
275,Natore,43,36350,4
276,Tangail,42,36400,5
277,Bogra,41,36450,1
278,Natore,40,36500,2
279,Pabna,39,36550,3
280,Tangail,38,36600,4
281,Bogra,37,36650,5
282,Natore,36,36700,1
283,Pabna,35,36750,2
284,Tangail,34,36800,3
285,Bogra,33,36850,4
286,Comilla,32,36900,5
287,Narayanganj,31,36950,2
288,Sirajganj,30,37000,9
289,Gaibandha,29,37050,1
290,Rangamati,28,37100,2
291,Comilla,27,37150,3
292,Narayanganj,26,37200,4
293,Sirajganj,25,37250,5
294,Gaibandha,24,37300,8
295,Rangamati,23,37350,6
296,Comilla,22,37400,4
297,Narayanganj,21,37450,8
298,Sirajganj,70,37500,6
299,Gaibandha,69,37550,4
300,Rangamati,68,37600,8
301,Comilla,67,37650,6
302,Narayanganj,66,37700,4
303,Sirajganj,65,37750,8
304,Gaibandha,64,37800,6
305,Rangamati,63,37850,4
306,Comilla,62,37900,8
307,Narayanganj,61,37950,6
308,Sirajganj,60,38000,4
309,Gaibandha,59,37960,8
310,Rangamati,58,37920,6
311,Comilla,57,37880,4
312,Narayanganj,56,37840,8
313,Sirajganj,55,37800,6
314,Gaibandha,54,37760,4
315,Rangamati,53,37720,8
316,Comilla,52,37680,6
317,Narayanganj,51,37640,4
318,Sirajganj,50,37600,5
319,Gaibandha,49,37560,6
320,Rangamati,48,37520,5
321,Comilla,47,37480,6
322,Narayanganj,46,37440,5
323,Sirajganj,45,37400,6
324,Gaibandha,44,37360,5
325,Rangamati,43,37320,6
326,Comilla,42,37280,5
327,Narayanganj,41,37240,6
328,Sirajganj,40,37200,5
329,Gaibandha,39,37160,6
330,Rangamati,38,37120,5
331,Comilla,37,37080,6
332,Narayanganj,36,37040,5
333,Comilla,35,37000,6
334,Narayanganj,34,36960,5
335,Sirajganj,33,36920,6
336,Gaibandha,32,36880,5
337,Rangamati,31,36840,6
338,Comilla,30,36800,5
339,Narayanganj,29,36760,6
340,Sirajganj,28,36720,5
341,Gaibandha,27,36680,6
342,Rangamati,26,36640,5
343,Comilla,25,36600,6
344,Narayanganj,24,36560,5
345,Sirajganj,23,36520,6
346,Gaibandha,22,36480,5
347,Rangamati,21,36440,6
348,Comilla,70,36400,5
349,Narayanganj,69,36360,6
350,Sirajganj,68,36320,5
351,Gaibandha,67,36280,6
352,Rangamati,66,36240,5
353,Comilla,65,36200,6
354,Narayanganj,64,36160,5
355,Sirajganj,63,36120,6
356,Gaibandha,62,36080,5
357,Gopalganj,61,36040,6
358,Faridpur,60,36000,8
359,Madaripur,59,35960,8
360,Barishal,58,35920,6
361,Gaibandha,57,35880,4
362,Gopalganj,56,35840,8
363,Faridpur,55,35800,6
364,Madaripur,54,35760,4
365,Barishal,53,35720,8
366,Gaibandha,52,35680,6
367,Gopalganj,51,35640,4
368,Faridpur,50,35600,8
369,Madaripur,49,35560,6
370,Barishal,48,35520,4
371,Gaibandha,47,35480,8
372,Gopalganj,46,35440,6
373,Faridpur,45,35400,4
374,Madaripur,44,35360,8
375,Barishal,43,35320,6
376,Gaibandha,42,35280,4
377,Gopalganj,41,35240,8
378,Faridpur,40,35200,6
379,Madaripur,39,35160,4
380,Barishal,38,35120,1
381,Gaibandha,37,35080,9
382,Gopalganj,36,35040,3
383,Faridpur,35,35000,1
384,Madaripur,34,34960,9
385,Barishal,33,34920,3
386,Gaibandha,32,34880,1
387,Gopalganj,31,34840,9
388,Faridpur,30,34800,3
389,Madaripur,29,34760,1
390,Barishal,28,34720,9
391,Gaibandha,27,34680,3
392,Gopalganj,26,34640,1
393,Faridpur,25,34600,9
394,Madaripur,24,34560,3
395,Barishal,23,34520,1
396,Gaibandha,22,34480,9
397,Gopalganj,21,34440,3
398,Faridpur,70,34400,1
399,Madaripur,69,34360,9
400,Barishal,68,34320,3
401,Gaibandha,67,34280,1
402,Gopalganj,66,34240,9
403,Faridpur,65,34200,3
404,Madaripur,64,34160,1
405,Barishal,63,34120,9
406,Gaibandha,62,34080,3
407,Gopalganj,61,34040,1
408,Faridpur,60,34000,9
409,Madaripur,59,33960,3
410,Barishal,58,33920,5
411,Gaibandha,57,33880,6
412,Gopalganj,56,33840,8
413,Faridpur,55,33800,6
414,Madaripur,54,33760,4
415,Barishal,53,33720,8
416,Gaibandha,52,33680,6
417,Gopalganj,51,33640,4
418,Faridpur,50,33600,8
419,Madaripur,49,33560,6
420,Barishal,48,33520,4
421,Gaibandha,47,33480,8
422,Gopalganj,46,33440,6
423,Faridpur,45,33400,4
424,Madaripur,44,33360,8
425,Barishal,43,33320,6
426,Gaibandha,42,33280,4
427,Gopalganj,41,33240,8
428,Faridpur,40,33200,6
429,Madaripur,39,33160,4
430,Barishal,38,33120,8
431,Gaibandha,37,33080,6
432,Gopalganj,36,33040,4
433,Faridpur,35,33000,1
434,Madaripur,34,32960,9
435,Barishal,33,32920,3
436,Gaibandha,32,32880,1
437,Gopalganj,31,32840,9
438,Faridpur,30,32800,3
439,Madaripur,29,32760,1
440,Barishal,28,32720,9
441,Gaibandha,27,32680,3
442,Gopalganj,26,32640,6
443,Faridpur,25,32600,2
444,Madaripur,24,32560,9
445,Barishal,23,32520,7
446,Gaibandha,22,32480,2
447,Gopalganj,21,32440,9
448,Faridpur,70,32400,7
449,Madaripur,69,32360,2
450,Barishal,68,32320,9
451,Gaibandha,67,32280,7
452,Gopalganj,66,32240,2
453,Faridpur,65,32200,9
454,Madaripur,64,32160,7
455,Barishal,63,32120,2
456,Gaibandha,62,32080,9
457,Gopalganj,61,32040,7
458,Faridpur,60,32000,2
459,Madaripur,59,31960,9
460,Barishal,58,31920,7
461,Gaibandha,57,31880,2
462,Gopalganj,56,31840,9
463,Faridpur,55,31800,7
464,Madaripur,54,31760,2
465,Barishal,53,25500,9
466,Gaibandha,52,25490,7
467,Gopalganj,51,25480,2
468,Faridpur,50,25470,9
469,Madaripur,49,25460,7
470,Barishal,48,25450,2
471,Gaibandha,47,25440,9
472,Gopalganj,46,25430,7
473,Faridpur,45,25420,2
474,Madaripur,44,25410,9
475,Barishal,43,25400,7
476,Gaibandha,42,25390,2
477,Gopalganj,41,25380,9
478,Faridpur,40,25370,7
479,Madaripur,39,25360,2
480,Barishal,38,25350,9
481,Gaibandha,37,25340,7
482,Gopalganj,36,25330,8
483,Faridpur,35,25320,6
484,Madaripur,34,25310,4
485,Barishal,33,25300,8
486,Gaibandha,32,25290,6
487,Gopalganj,31,25280,4
488,Faridpur,30,25270,8
489,Madaripur,29,25260,6
490,Barishal,28,25250,4
491,Gaibandha,27,25240,2
492,Gopalganj,26,25230,9
493,Faridpur,25,25220,7
494,Madaripur,24,25210,2
495,Barishal,23,25200,9
496,Gaibandha,22,25190,7
497,Gopalganj,21,25180,2
498,Faridpur,20,25170,9
499,Madaripur,19,25160,7
500,Barishal,18,25150,2
